Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
TTLL12	KIAA0153	ENSG00000100304	Tubulin tyrosine ligase like 12	Q14166	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TTLL5	KIAA0998	ENSG00000119685	Tubulin tyrosine ligase like 5	Q6EMB2	Disease related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TWF2	A6r, A6RP, PTK9L	ENSG00000247596	Twinfilin actin binding protein 2	Q6IBS0	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TXNDC11	EFP1	ENSG00000153066	Thioredoxin domain containing 11	Q6PKC3	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
TXNIP	ARRDC6, EST01027, HHCPA78, THIF, VDUP1	ENSG00000265972	Thioredoxin interacting protein	Q9H3M7	Cancer-related genes, Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
TYW3	C1orf171, FLJ40918	ENSG00000162623	TRNA-yW synthesizing protein 3 homolog	Q6IPR3	Enzymes, Predicted intracellular proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
UAP1	AgX, AGX1, SPAG2	ENSG00000117143	UDP-N-acetylglucosamine pyrophosphorylase 1	Q16222	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
UBA3	hUba3, NAE2, UBE1C	ENSG00000144744	Ubiquitin like modifier activating enzyme 3	Q8TBC4	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
UBA52	CEP52, HUBCEP52, L40, MGC126879, MGC126881, MGC57125, RPL40	ENSG00000221983	Ubiquitin A-52 residue ribosomal protein fusion product 1	P62987	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
UBAC1	GBDR1, KPC2, UBADC1	ENSG00000130560	UBA domain containing 1	Q9BSL1	Predicted intracellular proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
